m, None
9.769999999999999208e-07,6.381841900000000400e-01
9.774999999999999584e-07,6.797748799999999703e-01
9.779999999999999960e-07,6.439253700000000524e-01
9.785000000000000335e-07,6.235944599999999616e-01
9.790000000000000711e-07,6.206343800000000410e-01
9.795000000000001087e-07,6.109022499999999800e-01
9.799999999999999345e-07,6.242124399999999795e-01
9.804999999999999720e-07,6.591973899999999942e-01
9.810000000000000096e-07,7.109893600000000147e-01
9.815000000000000472e-07,7.249801200000000057e-01
9.820000000000000847e-07,7.012071600000000515e-01
9.825000000000001223e-07,6.878130399999999867e-01
9.829999999999999481e-07,6.915286800000000067e-01
9.834999999999999857e-07,7.263290300000000421e-01
9.840000000000000232e-07,7.505909800000000187e-01
9.845000000000000608e-07,7.309170400000000178e-01
9.849999999999998866e-07,7.257023999999999697e-01
9.855000000000001359e-07,7.585874799999999807e-01
9.859999999999999617e-07,7.899482799999999472e-01
9.864999999999999993e-07,7.964851299999999856e-01
9.870000000000000369e-07,7.788975799999999783e-01
9.875000000000000744e-07,7.677943699999999483e-01
9.879999999999999002e-07,7.835185500000000358e-01
9.885000000000001496e-07,8.037399600000000310e-01
9.889999999999999754e-07,8.084499800000000125e-01
9.895000000000000129e-07,7.982263600000000237e-01
9.900000000000000505e-07,7.873168600000000072e-01
9.905000000000000881e-07,7.936352500000000143e-01
9.909999999999999139e-07,8.069710100000000441e-01
9.914999999999999514e-07,8.129347599999999785e-01
9.919999999999999890e-07,8.145942099999999852e-01
9.925000000000000266e-07,8.055807900000000465e-01
9.930000000000000641e-07,7.972008600000000111e-01
9.935000000000001017e-07,8.086686100000000099e-01
9.939999999999999275e-07,8.205273199999999489e-01
9.944999999999999651e-07,8.228687599999999769e-01
9.950000000000000026e-07,8.237522800000000034e-01
9.955000000000000402e-07,8.225409399999999982e-01
9.960000000000000777e-07,8.234481799999999740e-01
9.965000000000001153e-07,8.251527499999999904e-01
9.969999999999999411e-07,8.248500800000000410e-01
9.974999999999999787e-07,8.247941100000000247e-01
9.980000000000000162e-07,8.244768999999999570e-01
9.985000000000000538e-07,8.248392300000000343e-01
9.990000000000000914e-07,8.236620399999999842e-01
9.995000000000001289e-07,8.204074500000000381e-01
9.999999999999999547e-07,8.207790299999999650e-01
1.000499999999999992e-06,8.252880000000000216e-01
1.000999999999999818e-06,8.259542600000000512e-01
1.001500000000000067e-06,8.144890099999999578e-01
1.002000000000000105e-06,8.024979800000000552e-01
1.002499999999999931e-06,8.088888499999999926e-01
1.002999999999999968e-06,8.240559699999999710e-01
1.003500000000000006e-06,8.269856599999999558e-01
1.004000000000000044e-06,8.215366600000000297e-01
1.004499999999999869e-06,8.224486100000000244e-01
1.004999999999999907e-06,8.252173699999999501e-01
1.005500000000000156e-06,8.246217999999999604e-01
1.005999999999999982e-06,8.262690900000000394e-01
1.006500000000000020e-06,8.284995000000000553e-01
1.006999999999999845e-06,8.288232100000000324e-01
1.007500000000000095e-06,8.262231300000000278e-01
1.007999999999999921e-06,8.229386800000000335e-01
1.008499999999999958e-06,8.211031600000000541e-01
1.008999999999999996e-06,8.145770399999999745e-01
1.009500000000000033e-06,8.099105399999999566e-01
1.010000000000000071e-06,8.161025600000000324e-01
1.010499999999999897e-06,8.249413399999999674e-01
1.010999999999999934e-06,8.296528499999999973e-01
1.011499999999999972e-06,8.281950399999999934e-01
1.012000000000000009e-06,8.250888600000000350e-01
1.012500000000000047e-06,8.275427199999999539e-01
1.012999999999999873e-06,8.312638999999999445e-01
1.013500000000000122e-06,8.329144099999999939e-01
1.013999999999999948e-06,8.315138199999999591e-01
1.014499999999999985e-06,8.289717399999999570e-01
1.014999999999999811e-06,8.286864800000000031e-01
1.015500000000000060e-06,8.294568100000000443e-01
1.016000000000000098e-06,8.324851399999999568e-01
1.016499999999999924e-06,8.336426599999999798e-01
1.016999999999999961e-06,8.306583199999999501e-01
1.017499999999999999e-06,8.304999499999999868e-01
1.018000000000000037e-06,8.339703099999999925e-01
1.018499999999999862e-06,8.346187499999999648e-01
1.018999999999999900e-06,8.282283499999999465e-01
1.019500000000000149e-06,8.245410300000000081e-01
1.019999999999999975e-06,8.302981900000000470e-01
1.020500000000000013e-06,8.344414799999999577e-01
1.020999999999999838e-06,8.336925499999999767e-01
1.021500000000000088e-06,8.322325299999999704e-01
1.022000000000000125e-06,8.329345000000000221e-01
1.022499999999999951e-06,8.332315099999999530e-01
1.022999999999999989e-06,8.292883599999999467e-01
1.023500000000000026e-06,8.229893999999999821e-01
1.024000000000000064e-06,8.225871900000000236e-01
1.024499999999999890e-06,8.317587400000000519e-01
1.024999999999999927e-06,8.366101999999999705e-01
1.025500000000000176e-06,8.346719099999999614e-01
1.026000000000000002e-06,8.344056600000000490e-01
1.026500000000000040e-06,8.356894299999999554e-01
1.026999999999999866e-06,8.333949999999999969e-01
1.027500000000000115e-06,8.306696999999999553e-01
1.027999999999999941e-06,8.330227100000000551e-01
1.028499999999999978e-06,8.345795299999999584e-01
1.029000000000000016e-06,8.354077300000000150e-01
1.029500000000000053e-06,8.371897900000000448e-01
1.030000000000000091e-06,8.380472100000000424e-01
1.030499999999999917e-06,8.386022400000000543e-01
1.030999999999999954e-06,8.376812900000000228e-01
1.031499999999999992e-06,8.369550100000000548e-01
1.032000000000000030e-06,8.386060600000000420e-01
1.032500000000000067e-06,8.400675100000000173e-01
1.032999999999999893e-06,8.396036000000000055e-01
1.033500000000000142e-06,8.391747499999999693e-01
1.033999999999999968e-06,8.400334699999999488e-01
1.034500000000000006e-06,8.408018400000000225e-01
1.034999999999999831e-06,8.409624700000000175e-01
1.035500000000000081e-06,8.407067099999999682e-01
1.036000000000000118e-06,8.403612999999999778e-01
1.036499999999999944e-06,8.406227200000000455e-01
1.036999999999999982e-06,8.407883000000000440e-01
1.037500000000000019e-06,8.407696500000000350e-01
1.038000000000000057e-06,8.409766600000000425e-01
1.038499999999999883e-06,8.410834700000000552e-01
1.038999999999999920e-06,8.411678700000000397e-01
1.039500000000000169e-06,8.413609899999999753e-01
1.039999999999999995e-06,8.415078499999999462e-01
1.040500000000000033e-06,8.414776299999999765e-01
1.040999999999999859e-06,8.412909499999999818e-01
1.041500000000000108e-06,8.412826700000000102e-01
1.041999999999999934e-06,8.415168499999999829e-01
1.042499999999999971e-06,8.417147999999999852e-01
1.043000000000000009e-06,8.419171600000000533e-01
1.043500000000000046e-06,8.420736800000000466e-01
1.044000000000000084e-06,8.421204100000000414e-01
1.044499999999999910e-06,8.421024099999999679e-01
1.044999999999999947e-06,8.419645999999999519e-01
1.045500000000000197e-06,8.419224600000000391e-01
1.046000000000000023e-06,8.420928100000000249e-01
1.046500000000000060e-06,8.421901499999999707e-01
1.046999999999999886e-06,8.420773700000000472e-01
1.047500000000000135e-06,8.419863600000000448e-01
1.047999999999999961e-06,8.420591400000000393e-01
1.048499999999999999e-06,8.419199600000000228e-01
1.049000000000000036e-06,8.413849500000000203e-01
1.049500000000000074e-06,8.409607999999999528e-01
1.050000000000000111e-06,8.409860099999999505e-01
1.050499999999999937e-06,8.412348600000000287e-01
1.050999999999999975e-06,8.411807399999999824e-01
1.051500000000000012e-06,8.406673700000000249e-01
1.052000000000000050e-06,8.402583599999999819e-01
1.052500000000000087e-06,8.402013799999999977e-01
1.052999999999999913e-06,8.400434900000000038e-01
1.053500000000000162e-06,8.396161800000000452e-01
1.053999999999999988e-06,8.392950900000000214e-01
1.054500000000000026e-06,8.391710500000000295e-01
1.054999999999999852e-06,8.388692100000000318e-01
1.055500000000000101e-06,8.382623799999999736e-01
1.056000000000000139e-06,8.377240299999999529e-01
1.056499999999999964e-06,8.373663399999999868e-01
1.057000000000000002e-06,8.367721999999999660e-01
1.057500000000000039e-06,8.358615600000000034e-01
1.058000000000000077e-06,8.347863599999999495e-01
1.058499999999999903e-06,8.337632999999999850e-01
1.058999999999999940e-06,8.333859999999999602e-01
1.059500000000000190e-06,8.334861399999999865e-01
1.060000000000000016e-06,8.331981299999999813e-01
1.060500000000000053e-06,8.326639500000000416e-01
1.060999999999999879e-06,8.325146399999999725e-01
1.061500000000000128e-06,8.324360299999999935e-01
1.061999999999999954e-06,8.310241699999999510e-01
1.062499999999999992e-06,8.289418800000000198e-01
