m, W/sr m3
9.205000000000000171e-07,5.880166700000000186e+06
9.210000000000000547e-07,5.779815399999999441e+06
9.214999999999999864e-07,5.664920462499999441e+06
9.220000000000000239e-07,5.554818700000000186e+06
9.224999999999999556e-07,5.518754125000000000e+06
9.229999999999999932e-07,5.446751150000000373e+06
9.235000000000000307e-07,5.358158850000000559e+06
9.240000000000000683e-07,5.302058400000000373e+06
9.245000000000000000e-07,5.293068712500000373e+06
9.250000000000000376e-07,5.314422500000000000e+06
9.254999999999999692e-07,5.334021950000000186e+06
9.260000000000000068e-07,5.367427500000000000e+06
9.264999999999999385e-07,5.402236775000000373e+06
9.270000000000000819e-07,5.323984450000000186e+06
9.275000000000000136e-07,5.118631375000000931e+06
9.280000000000000512e-07,4.814778099999999627e+06
9.284999999999999829e-07,4.559714137499998324e+06
9.290000000000000204e-07,4.357391225000000559e+06
9.294999999999999521e-07,4.200113987499999814e+06
9.300000000000000956e-07,3.988705750000000931e+06
9.305000000000000272e-07,3.759715000000000000e+06
9.310000000000000648e-07,3.513729999999999069e+06
9.314999999999999965e-07,3.227804987500000745e+06
9.320000000000000341e-07,2.982250000000000000e+06
9.324999999999999657e-07,2.779907499999999069e+06
9.330000000000000033e-07,2.660858700000000186e+06
9.335000000000000409e-07,2.527643750000000000e+06
9.340000000000000784e-07,2.374894999999999069e+06
9.345000000000000101e-07,2.368400674999999814e+06
9.350000000000000477e-07,2.427209375000000466e+06
9.354999999999999794e-07,2.560285937499999534e+06
9.360000000000000169e-07,2.563822899999999907e+06
9.364999999999999486e-07,2.525225699999999721e+06
9.370000000000000921e-07,2.441696600000000559e+06
9.375000000000000238e-07,2.442634375000000000e+06
9.379999999999999554e-07,2.546629650000000838e+06
9.384999999999999930e-07,2.799511487499999348e+06
9.389999999999999247e-07,3.196289000000000466e+06
9.394999999999999623e-07,3.503548437500000466e+06
9.399999999999998939e-07,3.615465000000000000e+06
9.405000000000000374e-07,3.462426662499999627e+06
9.409999999999999691e-07,3.295515274999998976e+06
9.415000000000000066e-07,3.194337412500000093e+06
9.419999999999999383e-07,3.101737849999999627e+06
9.424999999999999759e-07,2.992679875000000466e+06
9.429999999999999076e-07,2.843277050000000279e+06
9.435000000000000510e-07,2.756700299999999814e+06
9.439999999999999827e-07,2.713875100000000093e+06
9.445000000000000203e-07,2.740516862499999814e+06
9.449999999999999519e-07,2.807584625000000466e+06
9.454999999999999895e-07,2.858347750000000000e+06
9.459999999999999212e-07,2.830442999999999534e+06
9.464999999999999588e-07,2.853130937500000000e+06
9.469999999999999963e-07,2.895702424999999814e+06
9.475000000000000339e-07,2.948066812500000000e+06
9.479999999999999656e-07,2.987754400000000373e+06
9.485000000000000031e-07,3.021848637500000186e+06
9.489999999999999348e-07,3.052973674999999814e+06
9.494999999999999724e-07,2.968963499999999069e+06
9.499999999999999041e-07,2.888283750000000000e+06
9.505000000000000475e-07,3.032244487499998882e+06
9.509999999999999792e-07,3.166812200000001118e+06
9.515000000000000168e-07,3.233154924999999814e+06
9.519999999999999484e-07,2.975677400000001304e+06
9.524999999999999860e-07,2.884873687500000000e+06
9.529999999999999177e-07,2.909744200000000186e+06
9.535000000000000611e-07,3.099284899999998976e+06
9.539999999999998869e-07,3.149584799999999814e+06
9.544999999999999245e-07,3.112742037499999627e+06
9.549999999999999621e-07,3.041214625000000466e+06
9.554999999999999996e-07,3.000295262499999721e+06
9.560000000000000372e-07,2.989675000000000466e+06
9.565000000000000748e-07,3.080762187500000000e+06
9.569999999999999006e-07,3.238500000000002794e+06
9.574999999999999381e-07,3.432821625000000466e+06
9.579999999999999757e-07,3.457935899999999907e+06
9.585000000000000133e-07,3.368912025000001770e+06
9.590000000000000508e-07,3.193494774999999907e+06
9.595000000000000884e-07,3.145759137500000186e+06
9.599999999999999142e-07,3.204237999999999069e+06
9.604999999999999518e-07,3.356383050000000745e+06
9.609999999999999893e-07,3.462950100000000093e+06
9.615000000000000269e-07,3.493505587500000373e+06
9.620000000000000645e-07,3.449472949999999721e+06
9.625000000000001020e-07,3.469575625000000000e+06
9.629999999999999278e-07,3.540189074999999255e+06
9.634999999999999654e-07,3.664960337500000838e+06
9.640000000000000030e-07,3.652675600000000093e+06
9.645000000000000405e-07,3.637729012500000186e+06
9.649999999999998663e-07,3.625039625000000000e+06
9.655000000000001157e-07,3.628954462499999907e+06
9.659999999999999415e-07,3.627497800000000279e+06
9.664999999999999790e-07,3.617631949999999721e+06
9.670000000000000166e-07,3.838494600000000559e+06
9.675000000000000542e-07,4.088231749999999069e+06
